(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 900, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1000, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1100, 'upper')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1200, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1300, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1400, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1500, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1600, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1700, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1800, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 14.5, 1900, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 100, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 300, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 500, 'upper')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 600, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 700, 'upper')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 800, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 900, 'upper')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1000, 'minimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1100, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1200, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1300, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1400, 'lower')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1500, 'optimal')
(1.0, 15.0, 18.0, 16.0, 18.0, 15.0, 1600, 'optimal')
